round,burn_R,emission_R+1,credit_supply,alice_reward,bob_reward,alice_apr_bps,bob_apr_bps
0,0,383333333333333333333334,70399999999999999999999999,231808278867102396540817,168191721132897603459182,1506753,2186492
1,190000000000000000000000,366666666666666666666668,70593333333333333333333332,222149600580973130018283,161183732752360203315050,1475363,2140940
2,380000000000000000000000,361000000000000000000000,70579999999999999999999999,212490922294843863495750,154175744371822803170917,1443972,2095388
3,570000000000000000000000,541500000000000000000000,70370999999999999999999998,209206971677559912878087,151793028322440087121912,1422940,2064868
4,760000000000000000000000,722000000000000000000000,70152499999999999999999997,313810457516339869317131,227689542483660130682868,1556194,2258236
5,950000000000000000000000,902500000000000000000000,69924499999999999999999996,418413943355119825756175,303586056644880174243824,1875123,2721044
6,950000000000000000000000,902500000000000000000000,69876999999999999999999995,523017429193899782195219,379482570806100217804780,2379729,3453291
7,889286000000000000000000,844821699999999999999999,69890213999999999999999995,523017429193899782195219,379482570806100217804780,2889671,4193282
8,828572000000000000000000,787143399999999999999999,69906463699999999999999994,489591660566448801799218,355230039433551198200780,3175315,4607789
9,767858000000000000000000,729465099999999999999999,69925749099999999999999993,456165891938997821403217,330977508061002178596781,3236662,4696811
10,707143000000000000000000,671785849999999999999999,69948071199999999999999992,422740123311546841007217,306724976688453158992781,3073712,4460349
11,646429000000000000000000,614107549999999999999999,69973428049999999999999991,389313804139433551243025,282472045860566448756973,2856443,4145064
12,585715000000000000000000,556429249999999999999999,70001820599999999999999990,355888035511982570847024,258219514488017429152974,2639175,3829780
13,525000000000000000000000,498749999999999999999999,70033249849999999999999989,322462266884531590451023,233966983115468409548975,2421906,3514496
14,464286000000000000000000,441071699999999999999999,70067713849999999999999988,289035947712418300686831,209714052287581699313167,2204637,3199210
15,403572000000000000000000,383393399999999999999999,70105213549999999999999987,255610179084967320290830,185461520915032679709168,1987369,2883926
16,342858000000000000000000,325715099999999999999999,70145748949999999999999986,222184410457516339894830,161208989542483660105168,1770100,2568642
17,282143000000000000000000,268035849999999999999999,70189321049999999999999985,188758641830065359498829,136956458169934640501169,1552832,2253358
18,221429000000000000000000,210357549999999999999999,70235927899999999999999984,155332322657952069734637,112703527342047930265361,1335564,1938074
19,160715000000000000000000,152679249999999999999999,70285570449999999999999983,121906554030501089338636,88450995969498910661362,1118295,1622789
20,100000000000000000000000,94999999999999999999999,70338249699999999999999982,88480785403050108942635,64198464596949891057363,901027,1307505
21,50000000000000000000000,47499999999999999999999,70383249699999999999999981,55054466230936819178443,39945533769063180821555,683757,992220
22,50000000000000000000000,47499999999999999999999,70380749699999999999999980,27527233115468409589221,19972766884531590410777,476074,690845
23,50000000000000000000000,47499999999999999999999,70378249699999999999999979,27527233115468409589221,19972766884531590410777,322708,468290
24,50000000000000000000000,47499999999999999999999,70375749699999999999999978,27527233115468409589221,19972766884531590410777,223658,324557
25,50000000000000000000000,47499999999999999999999,70373249699999999999999977,27527233115468409589221,19972766884531590410777,178927,259645
26,50000000000000000000000,47499999999999999999999,70370749699999999999999976,27527233115468409589221,19972766884531590410777,178927,259645
27,50000000000000000000000,47499999999999999999999,70368249699999999999999975,27527233115468409589221,19972766884531590410777,178927,259645
28,50000000000000000000000,47499999999999999999999,70365749699999999999999974,27527233115468409589221,19972766884531590410777,178927,259645
29,50000000000000000000000,47499999999999999999999,70363249699999999999999973,27527233115468409589221,19972766884531590410777,178927,259645
30,50000000000000000000000,47499999999999999999999,70360749699999999999999972,27527233115468409589221,19972766884531590410777,178927,259645
31,50000000000000000000000,47499999999999999999999,70358249699999999999999971,27527233115468409589221,19972766884531590410777,178927,259645
32,50000000000000000000000,47499999999999999999999,70355749699999999999999970,27527233115468409589221,19972766884531590410777,178927,259645
33,50000000000000000000000,47499999999999999999999,70353249699999999999999969,27527233115468409589221,19972766884531590410777,178927,259645
34,50000000000000000000000,47499999999999999999999,70350749699999999999999968,27527233115468409589221,19972766884531590410777,178927,259645
35,50000000000000000000000,47499999999999999999999,70348249699999999999999967,27527233115468409589221,19972766884531590410777,178927,259645
36,50000000000000000000000,47499999999999999999999,70345749699999999999999966,27527233115468409589221,19972766884531590410777,178927,259645
37,50000000000000000000000,47499999999999999999999,70343249699999999999999965,27527233115468409589221,19972766884531590410777,178927,259645
38,50000000000000000000000,47499999999999999999999,70340749699999999999999964,27527233115468409589221,19972766884531590410777,178927,259645
39,50000000000000000000000,47499999999999999999999,70338249699999999999999963,27527233115468409589221,19972766884531590410777,178927,259645
40,50000000000000000000000,47499999999999999999999,70335749699999999999999962,27527233115468409589221,19972766884531590410777,178927,259645
41,50000000000000000000000,47499999999999999999999,70333249699999999999999961,27527233115468409589221,19972766884531590410777,178927,259645
42,50000000000000000000000,47499999999999999999999,70330749699999999999999960,27527233115468409589221,19972766884531590410777,178927,259645
43,50000000000000000000000,47499999999999999999999,70328249699999999999999959,27527233115468409589221,19972766884531590410777,178927,259645
44,50000000000000000000000,47499999999999999999999,70325749699999999999999958,27527233115468409589221,19972766884531590410777,178927,259645
45,50000000000000000000000,47499999999999999999999,70323249699999999999999957,27527233115468409589221,19972766884531590410777,178927,259645
46,50000000000000000000000,47499999999999999999999,70320749699999999999999956,27527233115468409589221,19972766884531590410777,178927,259645
47,50000000000000000000000,47499999999999999999999,70318249699999999999999955,27527233115468409589221,19972766884531590410777,178927,259645
48,50000000000000000000000,47499999999999999999999,70315749699999999999999954,27527233115468409589221,19972766884531590410777,178927,259645
49,50000000000000000000000,47499999999999999999999,70313249699999999999999953,27527233115468409589221,19972766884531590410777,178927,259645
50,50000000000000000000000,47499999999999999999999,70310749699999999999999952,27527233115468409589221,19972766884531590410777,178927,259645
51,50000000000000000000000,47499999999999999999999,70308249699999999999999951,27527233115468409589221,19972766884531590410777,178927,259645
